"SMWT","Muscle","Weight","CI_Lower","CI_Upper"
1,"BFLH",0.011,0,0.096
1,"GRA",0.604,0.369,0.878
1,"MG",0.124,0,0.288
1,"SOL",0.083,0,0.258
1,"VL",0.177,0,0.359
10,"BFLH",0.013,0,0.098
10,"GRA",0.6,0.372,0.867
10,"MG",0.122,0,0.292
10,"SOL",0.081,0,0.254
10,"VL",0.184,0.008,0.361
20,"BFLH",0.014,0,0.102
20,"GRA",0.597,0.379,0.856
20,"MG",0.121,0,0.289
20,"SOL",0.08,0,0.247
20,"VL",0.188,0.008,0.367
30,"BFLH",0.015,0,0.105
30,"GRA",0.594,0.38,0.847
30,"MG",0.119,0,0.287
30,"SOL",0.08,0,0.244
30,"VL",0.191,0.012,0.369
40,"BFLH",0.016,0,0.106
40,"GRA",0.592,0.379,0.841
40,"MG",0.118,0,0.289
40,"SOL",0.08,0,0.246
40,"VL",0.193,0.021,0.369
50,"BFLH",0.017,0,0.106
50,"GRA",0.59,0.379,0.836
50,"MG",0.117,0,0.29
50,"SOL",0.081,0,0.248
50,"VL",0.195,0.028,0.37
60,"BFLH",0.017,0,0.107
60,"GRA",0.589,0.379,0.834
60,"MG",0.116,0,0.291
60,"SOL",0.081,0,0.251
60,"VL",0.197,0.033,0.371
70,"BFLH",0.018,0,0.11
70,"GRA",0.588,0.379,0.834
70,"MG",0.115,0,0.291
70,"SOL",0.081,0,0.253
70,"VL",0.198,0.034,0.371
80,"BFLH",0.018,0,0.112
80,"GRA",0.586,0.378,0.831
80,"MG",0.114,0,0.29
80,"SOL",0.082,0,0.253
80,"VL",0.199,0.034,0.371
90,"BFLH",0.019,0,0.112
90,"GRA",0.585,0.378,0.828
90,"MG",0.113,0,0.29
90,"SOL",0.082,0,0.253
90,"VL",0.2,0.034,0.371
100,"BFLH",0.019,0,0.113
100,"GRA",0.584,0.377,0.826
100,"MG",0.113,0,0.289
100,"SOL",0.083,0,0.254
100,"VL",0.201,0.035,0.371
110,"BFLH",0.02,0,0.114
110,"GRA",0.583,0.376,0.823
110,"MG",0.112,0,0.288
110,"SOL",0.083,0,0.255
110,"VL",0.202,0.036,0.371
120,"BFLH",0.02,0,0.115
120,"GRA",0.582,0.376,0.821
120,"MG",0.111,0,0.288
120,"SOL",0.084,0,0.256
120,"VL",0.203,0.037,0.371
130,"BFLH",0.02,0,0.117
130,"GRA",0.582,0.377,0.819
130,"MG",0.11,0,0.287
130,"SOL",0.084,0,0.257
130,"VL",0.203,0.038,0.371
140,"BFLH",0.021,0,0.119
140,"GRA",0.581,0.378,0.817
140,"MG",0.11,0,0.287
140,"SOL",0.085,0,0.258
