"","rhat","ess_bulk","ess_tail","median","mean","sd","CRI_lower","CRI_upper","RSE"
"DPT_6MWD",1.0033032604681,2152,4241,12.258,12.266,0.246,11.878,12.684,2
"gamma_6MWD",1.00021389806002,19431,16869,61.676,62.047,3.916,56.309,68.939,6.3
"S0_6MWD",1.00008453198257,17589,21249,360.853,360.823,6.055,350.822,370.751,1.7
"DP_BFLH",1.00003693783098,22014,22895,36.153,36.177,1.355,33.99,38.433,3.7
"DPT_BFLH",1.00064628805222,5849,11603,10.245,10.249,0.219,9.897,10.614,2.1
"gamma_BFLH",1.00013241176155,26916,24909,9.84,9.855,0.556,8.974,10.797,5.6
"S0_BFLH",1.00022526956561,13104,18738,41.039,41.034,0.565,40.097,41.954,1.4
"DP_GRA",1.00013541577966,24116,23080,28.385,28.582,2.959,24.061,33.729,10.4
"DPT_GRA",1.00082078864752,9560,16404,14.242,14.274,0.522,13.47,15.178,3.7
"gamma_GRA",0.999989262938873,24037,23726,8.893,8.992,1.246,7.13,11.202,13.9
"S0_GRA",1.00001398144011,19674,22487,38.371,38.363,0.48,37.569,39.144,1.3
"DP_MG",1.00057912645975,7880,15812,25.923,25.97,2.088,22.603,29.454,8
"DPT_MG",1.00137476426626,5641,11383,12.878,12.901,0.471,12.173,13.716,3.7
"gamma_MG",1.00080862920812,6196,11455,6.684,6.742,0.909,5.347,8.327,13.5
"S0_MG",1.00054306584613,5396,9758,38.641,38.627,0.591,37.627,39.574,1.5
"DP_SOL",1.00009034065612,7252,14845,32.642,32.737,2.701,28.506,37.367,8.3
"DPT_SOL",1.00078603156517,7757,14866,13.692,13.718,0.55,12.857,14.653,4
"gamma_SOL",1.0001166821981,4505,11784,4.484,4.537,0.538,3.745,5.495,11.9
"S0_SOL",1.00029742280162,3441,8992,37.774,37.82,0.628,36.864,38.929,1.7
"DP_VL",1.00053716755644,8443,15885,37.403,37.45,1.643,34.842,40.263,4.4
"DPT_VL",1.00123606615395,5022,11328,10.786,10.79,0.245,10.399,11.2,2.3
"gamma_VL",1.0005985622907,7390,13392,7.809,7.835,0.694,6.739,9.018,8.9
"S0_VL",1.00105962554198,5705,9915,39.966,39.961,0.67,38.838,41.056,1.7
